,RVN,Match Code
116,1991-0001-01,"['0000076', '0000154']"
117,1991-0002-01,"['0000467', '0000750']"
118,1992-0001-01,"['0000142', '0000219', '0000220', '0000417', '0000444', '0000483', '0000616']"
119,1992-0002-01,"['0000014', '0000557', '0000837', '0000846']"
120,1993-0001-01,"['0000121.1.0', '0000123', '0000124', '0000417', '0000442', '0000508', '0000770']"
121,1993-0002-01,"['0000120.0.1', '0000123', '0000124', '0000417', '0000442', '0000508', '0000770']"
122,1993-0003-01,"['0000123', '0000124', '0000417', '0000443', '0000456', '0000508', '0000770', '0000884', '0000885']"
123,1993-0004-01,"['0000069', '0000318', '0000319', '0000469', '0000581', '0000596', '0000648', '0000692']"
124,1994-0001-01,"['0000492', '0000494', '0000697']"
125,1994-0001-02,"['0000152', '0000771', '0000772']"
126,1994-0002-01,"['0000071', '0000220', '0000324', '0000486', '0000615']"
127,1995-0001-01,"['0000016', '0000151', '0000698', '0000920']"
128,1996-0001-01,['0000632']
129,1997-0001-01,"['0000057', '0000144']"
130,1997-0001-02,"['0000057', '0000144', '0000744']"
131,1997-0001-03,"['0000057', '0000144', '0000626', '0000744']"
132,1997-0001-04,"['0000019', '0000057', '0000144', '0000744', '0000745']"
133,1997-0001-05,"['0000057', '0000144', '0000393']"
134,1997-0001-07,"['0000056', '0000058']"
135,1997-0001-08,"['0000057', '0000145', '0000479']"
136,1997-0001-10,"['0000057', '0000145', '0000473', '0000712']"
137,1997-0001-11,"['0000057', '0000081', '0000144']"
138,1998-0002-01,['0000433']
139,1998-0003-01,"['0000143', '0000401', '0000720']"
140,2002-0001-01,"['0000457', '0000493', '0000498', '0000500']"
141,2002-0001-02,"['0000336', '0000457', '0000493', '0000498', '0000499', '0000503']"
142,2002-0002-01,"['0000072', '0000404', '0000592', '0000603', '0000606', '0000743', '0000747', '0000777', '0000779', '0000781', '0000786', '0000790']"
143,2003-0001-01,"['0000204', '0000237', '0000256', '0000293', '0000370', '0000682']"
144,2003-0001-02,"['0000204', '0000234', '0000253', '0000293', '0000370']"
145,2003-0001-03,"['0000204', '0000235', '0000253', '0000293', '0000370', '0000682']"
146,2003-0001-04,"['0000204', '0000237', '0000253', '0000293', '0000370']"
147,2003-0001-05,"['0000236', '0000251', '0000253', '0000278', '0000293', '0000370', '0000395', '0000682']"
148,2003-0001-06,"['0000204', '0000234', '0000253', '0000293', '0000370', '0000682']"
149,2003-0001-07,['0000235']
150,2003-0001-08,"['0000204', '0000234', '0000253', '0000293', '0000354', '0000370', '0000682', '0000773']"
151,2003-0001-09,"['0000193', '0000237', '0000256', '0000293', '0000370', '0000682']"
